storeName,totalInvoices,totalQuantity,grossAmount,taxAmount,discount,netAmount
REBEL MASS EXPORT PVT LTD,16,993,444205.65,40093.33,0,484298.98
REBEL MASS EXPORT PVT. LTD. (SONIPAT),112,416,272267.14,13613.36,0,282401.5
REBEL MASS EXPORT PVT. LTD. (GTB NAGAR),121,323,241527.92,13563.58,0,253731.9
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),111,311,195651.21,10278.29,0,198893.5
REBEL MASS EXPORT PVT. LTD (SAHIBABAD),60,127,110047.81,5502.39,0,114951.2
REBEL MASS EXPORT PVT. LTD (PITAMPURA),58,153,100692.48,5034.62,0,105727.1
SHRI KRISHNA ASSOCIATES (BHOPAL),36,99,92466.33,5548.67,0,98015
REBEL MASS EXPORT PVT. LTD. (SHAHJAHANPUR),56,101,83931.14,4196.56,0,88127.7
REBEL MASS EXPORT PVT. LTD. (HANUMANGARH),11,20,13811.05,690.55,0,14501.6
Testing Data,3,5,3043.05,152.15,0,3195.2
