warehouseName,itemName,sku,size,color,barcode,closingStock,reserved,damaged,inTransit
REBEL MASS EXPORT PVT LTD,AW24SS0026-0006429 ANTRA,0006429-L,L,,0006429-L,90,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0001-0006838 PEACH,0006838-L,L,,0006838-L,89,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0008 MAROON,DA0987-L,L,,DA0987-L,89,0,0,0
REBEL MASS EXPORT PVT LTD,AW24JKT0011-0004451 RED/NAVY.,0004451-L,L,,0004451-L,88,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0023-0007086 WHITE,0007086-L,L,,0007086-L,88,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0003-0003816 ANTRA,0003816-M,M,,0003816-M,88,0,0,1
REBEL MASS EXPORT PVT LTD,FSH25-0006-0007031 ORANGE,0007031-XL,XL,,0007031-XL,88,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0002-0006918 LEMON,0006918-L,L,,0006918-L,87,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0006-0007022 GREEN,0007022-L,L,,0007022-L,86,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0026-0006430 ANTRA,0006430-XL,XL,,0006430-XL,85,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 BLACK,DA2506-M,M,,DA2506-M,84,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0004-0004161 G.MELANGE,0004161-XL,XL,,0004161-XL,84,0,0,1
REBEL MASS EXPORT PVT LTD,FSH25-0002-0006926 PINK,0006926-L,L,,0006926-L,84,0,0,0
REBEL MASS EXPORT PVT LTD,CWC25-32-0004 BLACK,DA1568-106.68CM(42),106.68CM (42),,DA1568-106.68CM(42),83,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0051 WHITE,DA2075-L,L,,DA2075-L,83,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0028 NAVY,DA1700-XL,XL,,DA1700-XL,82,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0020 B.GREEN,DA2116-L,L,,DA2116-L,81,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0004-0004160 G.MELANGE,0004160-L,L,,0004160-L,81,0,0,2
REBEL MASS EXPORT PVT LTD,TS25-0053 OFF WHITE,DA2343-M,M,,DA2343-M,78,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0018-0005232 ANTRA,0005232-L,L,,0005232-L,76,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0002-0006927 PINK,0006927-XL,XL,,0006927-XL,75,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0008 MAROON,DA0988-XL,XL,,DA0988-XL,75,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0012 SKY,DA2121-XL,XL,,DA2121-XL,74,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0017-0005228 B.MELANGE,0005228-L,L,,0005228-L,74,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0072 NAVY,DA3495-M,M,,DA3495-M,73,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 BLACK,DA2509-XXL,XXL,,DA2509-XXL,73,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0017-0005224 ANTRA,0005224-L,L,,0005224-L,72,0,0,0
REBEL MASS EXPORT PVT LTD,LUXURY PC WHITE,DA2017-58WIDTH,58 WIDTH,,DA2017-58WIDTH,71,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0017-0005225 ANTRA,0005225-XL,XL,,0005225-XL,71,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0003-0005368 B.MELANGE,0005368-XL,XL,,0005368-XL,71,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0005-0007003 NUDE,0007003-XL,XL,,0007003-XL,71,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0017 TEAL,DA1643-L,L,,DA1643-L,71,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0017 TEAL,DA1644-XL,XL,,DA1644-XL,71,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0016-0005044 GREEN,0005044-XL,XL,,0005044-XL,70,0,0,0
