storeName,itemName,sku,size,color,barcode,closingStock,inTransit,damaged,sold,returned,rate,value
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24SH0108-0005336 MAHROON,0005336-XL,XL,,0005336,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24SH0147-0005826 L.GREEN,0005826-L,L,,0005826,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24SH0159-0005963 TURQ,0005963-XL,XL,,0005963,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24SH0171-0006075 WHITE,0006075-XL,XL,,0006075,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24SS0013-0004145 BLACK,0004145-XL,XL,,0004145,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24TK0003-0006359 BROWN,0006359-XL,XL,,0006359,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24TS0002-0006390 BLACK,0006390-L,L,,0006390,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),BELT0004-0001844 BROWN,0001844-115CM,115 CM,,0001844,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),BELT0008-0001866 BLACK,0001866-110CM,110 CM,,0001866,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),BELT25-18-0002-0008042 BLACK,0008042-115CM,115 CM,,0008042,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0001-0006630 WHT/YELLOW,0006630-L,L,,0006630,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0001-0006645 WHT/GREY,0006645-M,M,,0006645,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0002-0006662 WHT/GREEN,0006662-L,L,,0006662,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0002-0006663 WHT/GREEN,0006663-XL,XL,,0006663,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0002-0006665 WHT/PINK,0006665-M,M,,0006665,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0003-0006686 WHT/GREEN,0006686-L,L,,0006686,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0041 BLACK,DA0560-L,L,,DA0560,3,0,0,0,0,0,0
