storeName,totalVariants,closingStock,inTransit,damaged,sold,returned,estimatedValue
REBEL MASS EXPORT PVT. LTD (SAHIBABAD),2663,3542,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),2783,3507,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD (PITAMPURA),2569,3257,30,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (GTB NAGAR),2235,3048,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (SONIPAT),2182,2972,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (SHAHJAHANPUR),2374,2969,0,0,-1,0,0
REBEL MASS EXPORT PVT. LTD. (HANUMANGARH),2001,2387,0,0,0,0,0
SHRI KRISHNA ASSOCIATES (BHOPAL),1321,1655,0,0,0,0,0
Testing Data,1,7,0,0,0,0,0
